numJobs,name,stateAbbreviation,stateName,id,latitude,longitude,category_id
165,"Houston, TX",TX,Texas,1140171,29.76306,-95.36306,28
103,"New York, NY",NY,New York,1132348,40.71417,-74.00639,28
80,"Jacksonville, FL",FL,Florida,1154093,30.33194,-81.65583,28
66,"Phoenix, AZ",AZ,Arizona,1133904,33.44833,-112.07333,28
64,"Dallas, TX",TX,Texas,1139977,32.78333,-96.8,28
61,"Atlanta, GA",GA,Georgia,1155583,33.74889,-84.38806,28
55,"Cincinnati, OH",OH,Ohio,1145705,39.16194,-84.45694,28
55,"San Antonio, TX",TX,Texas,1140494,29.42389,-98.49333,28
53,"Denver, CO",CO,Colorado,1148170,39.73917,-104.98417,28
52,"Tampa, FL",FL,Florida,1154429,27.94722,-82.45861,28
52,"Charlotte, NC",NC,North Carolina,1138644,35.22694,-80.84333,28
52,"Los Angeles, CA",CA,California,1146821,34.05222,-118.24278,28
51,"Austin, TX",TX,Texas,1139761,30.26694,-97.74278,28
50,"Orlando, FL",FL,Florida,1154247,28.53806,-81.37944,28
49,"Chicago, IL",IL,Illinois,1128808,41.85,-87.65,28
46,"Indianapolis, IN",IN,Indiana,1145013,39.76833,-86.15806,28
46,"Aurora, CO",CO,Colorado,1148156,39.72944,-104.83139,28
43,"West Jordan, UT",UT,Utah,1128296,40.60972,-111.93833,28
42,"Washington, DC",DC,District of Columbia,1138213,38.895,-77.03667,28
42,"Las Vegas, NV",NV,Nevada,1149603,36.175,-115.13639,28
42,"Rochester, NY",NY,New York,1132765,43.15472,-77.61583,28
41,"Seattle, WA",WA,Washington,1150505,47.60639,-122.33083,28
40,"Deer Park, TX",TX,Texas,1140152,29.705,-95.12361,28
39,"Philadelphia, PA",PA,Pennsylvania,1152672,39.95222,-75.16417,28
39,"Frankfort, KY",KY,Kentucky,1137650,38.20083,-84.87333,28
38,"Baltimore, MD",MD,Maryland,1153527,39.29028,-76.6125,28
37,"Boise, ID",ID,Idaho,1127927,43.61361,-116.2025,28
37,"San Francisco, CA",CA,California,1147401,37.775,-122.41833,28
36,"Miami, FL",FL,Florida,1154170,25.77389,-80.19389,28
36,"Columbus, OH",OH,Ohio,1145845,39.96111,-82.99889,28
36,"San Diego, CA",CA,California,1147311,32.71528,-117.15639,28
35,"Eastover, SC",SC,South Carolina,1155133,33.87667,-80.69306,28
34,"Louisville, KY",KY,Kentucky,1137724,38.25417,-85.75944,28
34,"Grayling, MI",MI,Michigan,1134339,44.66139,-84.71472,28
34,"Milwaukee, WI",WI,Wisconsin,1133579,43.03889,-87.90639,28
33,"Manchester, NH",NH,New Hampshire,1147907,42.99556,-71.45528,28
32,"Lincoln, NE",NE,Nebraska,1136371,40.8,-96.66667,28
32,"Oklahoma City, OK",OK,Oklahoma,1136950,35.4675,-97.51611,28
32,"Branchburg, NJ",NJ,New Jersey,1157308,0,0,28
31,"Huntsville, AL",AL,Alabama,1127653,34.73028,-86.58611,28
31,"Fort Worth, TX",TX,Texas,1139993,32.72528,-97.32056,28
31,"Fort Buchanan, PR",PR,Puerto Rico,1141575,18.402056,-66.093124,28
30,"Wichita, KS",KS,Kansas,1151230,37.69222,-97.33722,28
30,"Richmond, VA",VA,Virginia,1130198,37.55361,-77.46056,28
30,"Tucson, AZ",AZ,Arizona,1133996,32.22167,-110.92583,28
30,"Sacramento, CA",CA,California,1147229,38.58167,-121.49333,28
28,"Hastings, NE",NE,Nebraska,1136326,40.58611,-98.38806,28
28,"Brundidge, AL",AL,Alabama,1127748,31.72,-85.81611,28
28,"Tulsa, OK",OK,Oklahoma,1137055,36.15389,-95.9925,28
28,"Grand Prairie, TX",TX,Texas,1139997,32.74583,-96.9975,28
28,"Baton Rouge, LA",LA,Louisiana,1149789,30.45056,-91.15444,28
27,"Boston, MA",MA,Massachusetts,1154532,42.35833,-71.06028,28
27,"Pittsburgh, PA",PA,Pennsylvania,1152990,40.44056,-79.99611,28
26,"Portland, OR",OR,Oregon,1151614,45.52361,-122.675,28
24,"Nashville, TN",TN,Tennessee,1144541,36.16583,-86.78444,28
24,"Salt Lake City, UT",UT,Utah,1128289,40.76083,-111.89028,28
24,"Clackamas, OR",OR,Oregon,1151583,45.40778,-122.56917,28
24,"Cleveland, OH",OH,Ohio,1145778,41.49944,-81.69556,28
24,"Reno, NV",NV,Nevada,1149627,39.52972,-119.81278,28
24,"Raleigh, NC",NC,North Carolina,1138960,35.77194,-78.63889,28
24,"San Jose, CA",CA,California,1147436,37.33944,-121.89389,28
24,"Bismarck, ND",ND,North Dakota,1156224,46.80833,-100.78333,28
23,"Bentonville, AR",AR,Arkansas,1143031,36.37278,-94.20861,28
23,"Grand Rapids, MI",MI,Michigan,1134796,42.96333,-85.66806,28
23,"Detroit, MI",MI,Michigan,1134644,42.33139,-83.04583,28
23,"Fort Lauderdale, FL",FL,Florida,1154160,26.12194,-80.14361,28
23,"Torrington, WY",WY,Wyoming,1138299,42.0625,-104.18389,28
23,"Prineville, OR",OR,Oregon,1151635,44.3,-120.83333,28
23,"Dunn, NC",NC,North Carolina,1138683,35.30611,-78.60917,28
23,"Arlington, TX",TX,Texas,1139951,32.73556,-97.10778,28
23,"Weslaco, TX",TX,Texas,1140361,26.15917,-97.99056,28
23,"Killeen, TX",TX,Texas,1140266,31.11694,-97.7275,28
23,"New Orleans, LA",LA,Louisiana,1150035,29.95444,-90.075,28
23,"Stockton, CA",CA,California,1147539,37.95778,-121.28972,28
23,"Madison, WI",WI,Wisconsin,1133470,43.07306,-89.40111,28
