Region,State,Metro,County,Code
New York,NY,New York,Queens,00001
Los Angeles,CA,Los Angeles,Los Angeles,00002
Chicago,IL,Chicago,Cook,00003
Philadelphia,PA,Philadelphia,Philadelphia,00004
Phoenix,AZ,Phoenix,Maricopa,00005
Las Vegas,NV,Las Vegas,Clark,00006
San Diego,CA,San Diego,San Diego,00007
San Jose,CA,San Jose,Santa Clara,00008
Jacksonville,FL,Jacksonville,Duval,00009
San Francisco,CA,San Francisco,San Francisco,00010
Columbus,OH,Columbus,Franklin,00011
Detroit,MI,Detroit,Wayne,00012
Charlotte,NC,Charlotte,Mecklenburg,00013
Memphis,TN,Memphis,Shelby,00014
Baltimore,MD,Baltimore,Baltimore City,00015
Boston,MA,Boston,Suffolk,00016
Seattle,WA,Seattle,King,00017
Washington,DC,Washington,District of Columbia,00018
Denver,CO,Denver,Denver,00019
Nashville,TN,Nashville,Davidson,00020
Milwaukee,WI,Milwaukee,Milwaukee,00021
Portland,OR,Portland,Multnomah,00022
Oklahoma City,OK,Oklahoma City,Oklahoma,00023
Tucson,AZ,Tucson,Pima,00024
Omaha,NE,Omaha,Douglas,00025
Fresno,CA,Fresno,Fresno,00026
Mesa,AZ,Phoenix,Maricopa,00027
Long Beach,CA,Los Angeles,Los Angeles,00028
Sacramento,CA,Sacramento,Sacramento,00029
Virginia Beach,VA,Virginia Beach,Virginia Beach City,00030
Colorado Springs,CO,Colorado Springs,El Paso,00031
Atlanta,GA,Atlanta,Fulton,00032
Miami,FL,Miami-Fort Lauderdale,Miami-Dade,00033
Tulsa,OK,Tulsa,Tulsa,00034
Cleveland,OH,Cleveland,Cuyahoga,00035
Honolulu,HI,Honolulu,Honolulu,00036
Oakland,CA,San Francisco,Alameda,00037
Minneapolis,MN,Minneapolis-St Paul,Hennepin,00038
Raleigh,NC,Raleigh,Wake,00039
Bakersfield,CA,Bakersfield,Kern,00040
Tampa,FL,Tampa,Hillsborough,00041
Anaheim,CA,Los Angeles,Orange,00042
Aurora,CO,Denver,Arapahoe,00043
Santa Ana,CA,Los Angeles,Orange,00044
Marietta,GA,Atlanta,Cobb,00045
Pittsburgh,PA,Pittsburgh,Allegheny,00046
Riverside,CA,Riverside,Riverside,00047
Cincinnati,OH,Cincinnati,Hamilton,00048
Saint Paul,MN,Minneapolis-St Paul,Ramsey,00049
Silver Spring,MD,Washington,Montgomery,00050
Toledo,OH,Toledo,Lucas,00051
Tallahassee,FL,Tallahassee,Leon,00052
Stockton,CA,Stockton,San Joaquin,00053
Newark,NJ,New York,Essex,00054
Lexington,KY,Lexington,Fayette,00055
Modesto,CA,Modesto,Stanislaus,00056
Durham,NC,Durham,Durham,00057
Chandler,AZ,Phoenix,Maricopa,00058
Pensacola,FL,Pensacola,Escambia,00059
Henderson,NV,Las Vegas,Clark,00060
Saint Petersburg,FL,Tampa,Pinellas,00061
Mobile,AL,Mobile,Mobile,00062
Orlando,FL,Orlando,Orange,00063
Jersey City,NJ,New York,Hudson,00064
Glendale,AZ,Phoenix,Maricopa,00065
Greensboro,NC,Greensboro,Guilford,00066
Louisville,KY,Louisville/Jefferson County,Jefferson,00067
Corona,CA,Riverside,Riverside,00068
Chula Vista,CA,San Diego,San Diego,00069
Lincoln,NE,Lincoln,Lancaster,00070
Fayetteville,NC,Fayetteville,Cumberland,00071
Hialeah,FL,Miami-Fort Lauderdale,Miami-Dade,00072
Lawrenceville,GA,Atlanta,Gwinnett,00073
Town of Madison,WI,Madison,Dane,00074
Fort Myers,FL,Fort Myers,Lee,00075
San Bernardino,CA,Riverside,San Bernardino,00076
Winston-Salem,NC,Winston-Salem,Forsyth,00077
Chesapeake,VA,Virginia Beach,Chesapeake City,00078
Birmingham,AL,Birmingham,Jefferson,00079
Fontana,CA,Riverside,San Bernardino,00080
Bradenton,FL,Sarasota,Manatee,00081
Knoxville,TN,Knoxville,Knox,00082
North Las Vegas,NV,Las Vegas,Clark,00083
Reno,NV,Reno,Washoe,00084
Montgomery,AL,Montgomery,Montgomery,00085
Scottsdale,AZ,Phoenix,Maricopa,00086
Santa Rosa,CA,Santa Rosa,Sonoma,00087
Fremont,CA,San Francisco,Alameda,00088
Oxnard,CA,Ventura,Ventura,00089
Rochester,NY,Rochester,Monroe,00090
Greenville,SC,Greenville,Greenville,00091
Gilbert,AZ,Phoenix,Maricopa,00092
Boca Raton,FL,Miami-Fort Lauderdale,Palm Beach,00093
Arlington,VA,Washington,Arlington,00094
Richmond,VA,Richmond,Richmond City,00095
Grand Rapids Township,MI,Grand Rapids,Kent,00096
