"zip_code","latitude","longitude","city","state","county"
"00501",40.9223251,-72.6370773,Holtsville,NY,Suffolk
"00544",40.9223251,-72.6370773,Holtsville,NY,Suffolk
"00601",18.1652737,-66.72258,Adjuntas,PR,Adjuntas
"00602",18.3931026,-67.180954,Aguada,PR,Aguada
"00603",18.4559135,-67.1457825,Aguadilla,PR,Aguadilla
"00604",18.4935207,-67.1358795,Aguadilla,PR,Aguadilla
"00605",18.4651623,-67.1414871,Aguadilla,PR,Aguadilla
"00606",18.1729469,-66.9441147,Maricao,PR,Maricao
"00610",18.2886848,-67.1396942,Anasco,PR,Anasco
"00611",18.2795315,-66.8021698,Angeles,PR,Utuado
"00612",18.4506741,-66.6982651,Arecibo,PR,Arecibo
"00613",18.4580936,-66.7327347,Arecibo,PR,Arecibo
"00614",18.4296741,-66.6745071,Arecibo,PR,Arecibo
"00616",18.4447918,-66.6406784,Bajadero,PR,Arecibo
"00617",18.4470921,-66.5442581,Barceloneta,PR,Barceloneta
"00622",17.9985313,-67.1873169,Boqueron,PR,Cabo Rojo
"00623",18.0622005,-67.1495438,Cabo Rojo,PR,Cabo Rojo
"00624",18.0235348,-66.7261581,Penuelas,PR,Penuelas
"00627",18.4778919,-66.8547668,Camuy,PR,Camuy
"00631",18.2691879,-66.8649902,Castaner,PR,Lares
"00636",18.1132832,-67.0397034,Rosario,PR,San German
"00637",18.0873222,-66.9349136,Sabana Grande,PR,Sabana Grande
"00638",18.3361607,-66.472084,Ciales,PR,Ciales
"00641",18.2500267,-66.6989594,Utuado,PR,Utuado
"00646",18.43606,-66.2819519,Dorado,PR,Dorado
"00647",17.969593,-66.9397507,Ensenada,PR,Guanica
"00650",18.3601246,-66.5623093,Florida,PR,Florida
"00652",18.4572544,-66.6033554,Garrochales,PR,Arecibo
"00653",17.9724674,-66.8986588,Guanica,PR,Guanica
"00656",18.0232792,-66.786911,Guayanilla,PR,Guayanilla
"00659",18.4813919,-66.8086929,Hatillo,PR,Hatillo
"00660",18.1454868,-67.1353226,Hormigueros,PR,Hormigueros
"00662",18.4802856,-67.0281525,Isabela,PR,Isabela
"00664",18.2176056,-66.5983047,Jayuya,PR,Jayuya
"00667",18.0150986,-67.0559692,Lajas,PR,Lajas
"00669",18.2959518,-66.8819275,Lares,PR,Lares
"00670",18.2521343,-66.9909668,Las Marias,PR,Las Marias
"00674",18.4455299,-66.4902649,Manati,PR,Manati
"00676",18.3837261,-67.0807953,Moca,PR,Moca
"00677",18.3357811,-67.2525482,Rincon,PR,Rincon
"00678",18.4530296,-66.9336853,Quebradillas,PR,Quebradillas
"00680",18.2190228,-67.5080643,Mayaguez,PR,Mayaguez
"00681",18.2190228,-67.5080643,Mayaguez,PR,Mayaguez
"00682",18.2190228,-67.5080643,Mayaguez,PR,Mayaguez
"00683",18.1132832,-67.0397034,San German,PR,San German
"00685",18.3236008,-66.972229,San Sebastian,PR,San Sebastian
"00687",18.3169765,-66.4152069,Morovis,PR,Morovis
"00688",18.4296741,-66.6745071,Sabana Hoyos,PR,Arecibo
"00690",18.4761963,-67.139595,San Antonio,PR,Aguadilla
"00692",18.4358177,-66.3385239,Vega Alta,PR,Vega Alta
"00693",18.4431095,-66.3983002,Vega Baja,PR,Vega Baja
"00694",18.4431095,-66.3983002,Vega Baja,PR,Vega Baja
"00698",18.0610409,-66.8611603,Yauco,PR,Yauco
"00703",18.2503986,-66.1284485,Aguas Buenas,PR,Aguas Buenas
"00704",17.9922905,-66.1392517,Aguirre,PR,Guayama
"00705",18.1280918,-66.2687149,Aibonito,PR,Aibonito
"00707",18.0070133,-65.8987198,Maunabo,PR,Maunabo
"00714",17.9675102,-66.0413818,Arroyo,PR,Arroyo
"00715",18.0118542,-66.5637207,Mercedita,PR,Ponce
"00716",18.0019951,-66.6074295,Ponce,PR,Ponce
"00717",18.0019951,-66.6074295,Ponce,PR,Ponce
"00718",18.2213898,-65.7783127,Naguabo,PR,Naguabo
"00719",18.2980175,-66.2297516,Naranjito,PR,Naranjito
"00720",18.226862,-66.3940201,Orocovis,PR,Orocovis
"00721",18.3641605,-65.7782898,Palmer,PR,Rio Grande
"00723",18.0099945,-66.0105743,Patillas,PR,Patillas
"00725",18.212965,-66.0580368,Caguas,PR,Caguas
"00726",18.212965,-66.0580368,Caguas,PR,Caguas
